YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600018175,33.564791216,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018178,167.83530671,2,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018190,456.08245059,3,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600018198,348.32450652,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018200,33.564791216,4,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018206,577.06260139,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018221,157.67224566,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018228,62.467137942,2,2,1,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018229,36.209745495,2,1,4,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600018231,260.67689294,3,1,1,2,2,5,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1
2016,201600018235,157.24939976,3,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018236,177.47319807,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018244,36.209745495,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018247,36.209745495,2,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018249,177.47319807,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018259,62.467137942,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600018260,36.209745495,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018262,177.47319807,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018269,260.67689294,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018270,177.47319807,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018280,260.67689294,3,2,4,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1
2016,201600018282,34.214877308,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
2016,201600018284,177.47319807,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018293,62.467137942,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018294,177.47319807,3,2,1,1,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600018300,260.67689294,3,2,4,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1
2016,201600018302,177.47319807,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600018309,62.467137942,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018313,260.67689294,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018315,177.47319807,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018324,177.47319807,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018326,157.24939976,3,2,1,2,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018333,157.67224566,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600018335,260.67689294,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018344,177.47319807,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018351,157.67224566,2,2,1,1,1,4,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600018353,36.209745495,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600018356,36.209745495,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018357,177.47319807,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018358,260.67689294,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018359,62.467137942,2,2,1,1,1,4,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600018393,157.67224566,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018404,157.24939976,3,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018407,177.47319807,3,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018414,260.67689294,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018419,62.467137942,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600018423,260.67689294,3,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600018434,62.467137942,2,1,1,2,2,5,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018457,157.67224566,2,2,1,2,2,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018462,256.47416156,3,2,1,1,1,4,1,2,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018465,62.467137942,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018485,177.47319807,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018488,260.67689294,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018497,177.47319807,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018498,157.67224566,2,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
